Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,fantasy_points,season,player_type,GS,W,L,SV,IP,ER,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,IP_numeric
Casey Mize,27,265,Maj-AL,Detroit,22,,417,57,121,20,4,11,,29,0,78,2,,4,13,11,4,,,,,195.55,2024,pitcher,20.0,2.0,6.0,,102.1,51.0,4.49,0.0,452.0,1789.0,0.65,0.16,0.1,0.5,0.24,0.05,1.466,0.331,6.9,2.69,102.1
Carmen Mlodzinski,25,265,Maj-NL,Pittsburgh,40,,184,22,41,8,0,3,,19,1,46,2,,4,2,6,0,,,,,133.3,2024,pitcher,4.0,5.0,5.0,,50.2,19.0,3.38,0.0,209.0,866.0,0.63,0.15,0.11,0.46,0.18,0.06,1.184,0.273,8.2,2.42,50.2
Anthony Molina,22,267,Maj-NL,Colorado,35,,236,46,72,16,1,5,,22,1,41,2,,4,6,6,2,,,,,75.15,2024,pitcher,1.0,1.0,1.0,,59.2,45.0,6.79,0.0,264.0,1049.0,0.63,0.16,0.08,0.41,0.33,0.07,1.575,0.345,6.2,1.86,59.2
Frankie Montas,31,262,Maj-NL,"Cincinnati,Milwaukee",31,,592,92,146,28,1,24,,67,0,151,6,,6,7,18,7,,,,,356.34999999999997,2024,pitcher,31.0,7.0,11.0,,154.1,82.0,4.78,1.0,673.0,2693.0,0.63,0.15,0.11,0.42,0.26,0.07,1.38,0.288,8.8,2.25,154.1
Keider Montero,23,255,Maj-AL,Detroit,21,,388,54,101,15,2,19,,31,0,80,3,,0,12,6,4,,,,,205.5,2024,pitcher,17.0,6.0,6.0,,101.1,52.0,4.62,0.0,422.0,1570.0,0.66,0.18,0.1,0.4,0.25,0.09,1.303,0.284,7.1,2.58,101.1
Jordan Montgomery,31,272,Maj-NL,Arizona,25,,478,83,149,40,3,14,,44,3,83,2,,4,9,14,4,,,,,152.75000000000003,2024,pitcher,21.0,8.0,7.0,1.0,117.0,81.0,6.23,3.0,532.0,1931.0,0.63,0.13,0.12,0.43,0.28,0.04,1.65,0.351,6.4,1.89,117.0
Adri\xc3\xa1n Morej\xc3\xb3n,25,255,Maj-NL,San Diego,61,,250,24,63,17,2,4,,23,3,72,1,,3,3,9,0,,,,,199.29999999999998,2024,pitcher,0.0,3.0,3.0,2.0,65.1,21.0,2.89,0.0,278.0,1086.0,0.67,0.15,0.13,0.51,0.21,0.06,1.316,0.333,9.9,3.13,65.1
Charlie Morton,40,265,Maj-NL,Atlanta,30,,613,85,154,35,2,23,,65,1,167,18,,4,20,12,7,,,,,412.3,2024,pitcher,30.0,8.0,10.0,,165.1,77.0,4.19,9.0,701.0,2791.0,0.63,0.17,0.11,0.47,0.25,0.04,1.325,0.307,9.1,2.57,165.1
Andr\xc3\xa9s Mu\xc3\xb1oz,25,270,Maj-AL,Seattle,60,,202,16,31,3,0,6,,26,3,77,3,,1,4,6,1,,,,,226.0,2024,pitcher,0.0,3.0,7.0,22.0,59.1,14.0,2.12,1.0,232.0,950.0,0.63,0.17,0.17,0.54,0.2,0.03,0.961,0.208,11.7,2.96,59.1
Roddery Mu\xc3\xb1oz,24,298,Maj-NL,Miami,18,,327,66,89,17,2,26,,42,0,70,5,,5,4,6,5,,,,,126.89999999999999,2024,pitcher,17.0,2.0,7.0,,82.2,60.0,6.53,2.0,379.0,1485.0,0.61,0.15,0.1,0.35,0.27,0.06,1.585,0.267,7.6,1.67,82.2
