game_date,player_id,at_bats,hits,doubles,triples,home_runs,walks,strikeouts,hit_by_pitch,batting_avg,fantasy_points,total_pitches,first_name,last_name,position,player_type,team,innings_pitched,hits_allowed,home_runs_allowed,walks_allowed,total_batters
2024-09-06,606192,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2.0,1,Teoscar,Hernández,OF,b,LAD,,,,,
2024-09-01,673357,4.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,10,Luis,Robert Jr.,OF,b,CHW,,,,,
2024-09-03,673357,4.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,-2.0,16,Luis,Robert Jr.,OF,b,CHW,,,,,
2024-09-04,673357,4.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.5,10.0,12,Luis,Robert Jr.,OF,b,CHW,,,,,
2024-09-06,673357,4.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.25,2.0,9,Luis,Robert Jr.,OF,b,CHW,,,,,
2024-09-07,673357,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,20,Luis,Robert Jr.,OF,b,CHW,,,,,
2024-09-02,543037,,,,,,,9,,,31.0,82,Gerrit,Cole,P,p,NYY,6.0,4.0,0.0,1.0,23.0
2024-09-02,669203,,,,,,,4,,,13.0,89,Corbin,Burnes,P,p,BAL,4.0,6.0,0.0,1.0,20.0
2024-09-04,668678,,,,,,,8,,,29.0,100,Zac,Gallen,P,p,ARI,5.666666666666667,0.0,0.0,4.0,21.0
2024-09-01,657277,,,,,,,4,,,13.0,90,Logan,Webb,P,p,SF,5.666666666666667,8.0,1.0,0.0,26.0
2024-09-07,657277,,,,,,,3,,,8.0,84,Logan,Webb,P,p,SF,4.666666666666667,10.0,0.0,2.0,27.0
2024-09-05,641154,,,,,,,9,,,30.0,91,Pablo,López,P,p,MIN,6.666666666666667,7.0,0.0,1.0,28.0
2024-09-01,621242,,,,,,,3,,,9.0,14,Edwin,Díaz,P,p,NYM,1.0,0.0,0.0,0.0,3.0
2024-09-04,621242,,,,,,,2,,,6.0,16,Edwin,Díaz,P,p,NYM,1.0,0.0,0.0,1.0,4.0
2024-09-06,621242,,,,,,,3,,,9.0,14,Edwin,Díaz,P,p,NYM,1.0,0.0,0.0,0.0,3.0
2024-09-07,621242,,,,,,,1,,,4.0,16,Edwin,Díaz,P,p,NYM,1.0,1.0,0.0,0.0,5.0
2024-09-02,661403,,,,,,,0,,,3.0,10,Emmanuel,Clase,P,p,CLE,1.0,0.0,0.0,0.0,3.0
2024-09-06,661403,,,,,,,1,,,5.0,7,Emmanuel,Clase,P,p,CLE,1.0,0.0,0.0,0.0,3.0
2024-09-03,664854,,,,,,,4,,,13.0,27,Ryan,Helsley,P,p,STL,2.0,1.0,0.0,0.0,7.0
2024-09-07,664854,,,,,,,3,,,8.0,16,Ryan,Helsley,P,p,STL,1.0,1.0,0.0,0.0,4.0
